LapNumber,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
18.0,18.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.796,115.5340000000001,39.16100000000006,25.274999999999864,1,0.0,0.0,0.0,0.0,0.0,0.0,2732.414,8,7,0
19.0,19.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.52,118.50299999999993,39.766999999999825,26.450000000000273,1,0.0,0.0,0.0,0.0,0.0,0.0,2825.934,8,7,0
20.0,20.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.867,121.65999999999985,41.29300000000012,26.079999999999927,1,0.0,0.0,0.0,0.0,0.0,0.0,2919.801,8,7,0
21.0,21.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.22,124.64599999999973,42.43399999999974,25.742999999999938,1,0.0,0.0,0.0,0.0,0.0,0.0,3013.021,8,7,0
22.0,22.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.185,127.53099999999995,43.57799999999952,24.638000000000375,1,0.0,0.0,0.0,0.0,0.0,0.0,3106.206,8,7,0
23.0,23.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.765,130.37400000000025,44.572000000000116,24.49499999999989,1,0.0,0.0,0.0,0.0,0.0,0.0,3198.971,8,7,0
24.0,24.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.469,133.15599999999995,45.189000000000306,24.180999999999585,1,0.0,0.0,0.0,0.0,0.0,0.0,3291.44,8,7,0
25.0,25.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.975,135.5300000000002,46.30400000000009,24.164999999999964,1,0.0,0.0,0.0,0.0,0.0,0.0,3383.415,8,7,0
26.0,26.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.81,138.17999999999984,46.8119999999999,23.483999999999924,1,0.0,0.0,0.0,0.0,0.0,0.0,3475.225,8,7,0
27.0,27.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.118,140.04799999999977,47.17499999999973,23.460000000000036,1,0.0,0.0,0.0,0.0,0.0,0.0,3566.343,8,7,0
28.0,28.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.801,141.75199999999995,47.83299999999963,23.742999999999938,1,0.0,0.0,0.0,0.0,0.0,0.0,56.757,8,7,0
29.0,29.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.378,143.77300000000014,48.08399999999983,24.16800000000012,1,0.0,0.0,0.0,0.0,0.0,0.0,147.135,8,7,0
30.0,30.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.691,146.4319999999998,49.03800000000001,24.789000000000215,1,0.0,0.0,0.0,0.0,0.0,0.0,237.826,8,7,0
31.0,31.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.071,148.80800000000045,48.68700000000035,26.366999999999734,1,0.0,0.0,0.0,0.0,0.0,0.0,327.897,8,7,0
32.0,32.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.109,151.1170000000002,48.5619999999999,30.01800000000003,1,0.0,0.0,0.0,0.0,0.0,0.0,418.006,8,7,0
8.0,8.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,97.824,26.427999999999997,13.205000000000041,50.39199999999994,1,0.0,0.0,0.0,0.0,0.0,0.0,1777.915,16,2,0
9.0,9.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.873,26.66300000000001,13.5,51.77200000000016,1,0.0,0.0,0.0,0.0,0.0,0.0,1872.788,16,2,0
10.0,10.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.587,28.11999999999989,14.414999999999964,53.325000000000045,1,0.0,0.0,0.0,0.0,0.0,0.0,1966.375,16,2,0
11.0,11.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.347,29.27800000000002,15.802999999999884,54.950000000000045,1,0.0,0.0,0.0,0.0,0.0,0.0,2059.722,16,2,0
12.0,12.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.803,30.30300000000011,17.31600000000003,56.572999999999865,1,0.0,0.0,0.0,0.0,0.0,0.0,2152.525,16,2,0
13.0,13.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.364,31.34900000000016,18.30300000000011,58.10799999999995,1,0.0,0.0,0.0,0.0,0.0,0.0,2244.889,16,2,0
14.0,14.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.856,32.41000000000008,19.604000000000042,59.34899999999993,1,0.0,0.0,0.0,0.0,0.0,0.0,2336.745,16,2,0
15.0,15.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.885,34.06899999999996,21.146000000000186,59.846000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0,2428.63,16,2,0
16.0,16.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.739,35.85600000000022,22.16300000000001,60.66099999999983,1,0.0,0.0,0.0,0.0,0.0,0.0,2520.369,16,2,0
17.0,17.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.597,37.18900000000008,23.064000000000078,62.452,1,0.0,0.0,0.0,0.0,0.0,0.0,2611.966,16,2,0
18.0,18.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.74,38.78300000000013,24.661000000000058,64.34299999999985,1,0.0,0.0,0.0,0.0,0.0,0.0,2703.706,16,2,0
19.0,19.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.189,40.42100000000005,26.033999999999878,64.83800000000019,1,0.0,0.0,0.0,0.0,0.0,0.0,2795.895,16,2,0
20.0,20.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.315,41.02599999999984,27.190000000000055,66.10300000000007,1,0.0,0.0,0.0,0.0,0.0,0.0,2887.21,16,2,0
21.0,21.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.127,41.91899999999987,28.590000000000146,67.4050000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,2978.337,16,2,0
22.0,22.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.029,42.64800000000014,29.404999999999745,70.64499999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,3069.366,16,2,0
23.0,23.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.975,43.70100000000002,30.641000000000076,72.3130000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,3160.341,16,2,0
