LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
37.0,199.0,160.0,3.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,116.334,0.0,0.0,-86.80699999999979,,0,0.0,0.0,0.0,0.0,1.0,0.0,976.316,0,0,0
38.0,235.0,248.0,4.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,137.91,0.0,0.0,-88.12800000000016,,0,0.0,0.0,0.0,0.0,1.0,0.0,1114.226,0,0,0
39.0,236.0,201.0,5.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,132.714,0.0,0.0,-87.39399999999978,,0,0.0,0.0,0.0,0.0,1.0,0.0,1246.94,0,0,0
40.0,238.0,245.0,6.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,131.498,0.0,0.0,-87.72500000000036,,0,0.0,0.0,0.0,0.0,1.0,0.0,1378.438,0,0,0
41.0,289.0,200.0,7.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,132.004,0.0,0.0,-83.2470000000003,,0,0.0,0.0,0.0,0.0,0.0,1.0,1510.442,0,0,0
42.0,291.0,282.0,8.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,85.317,0.0,0.0,-85.07600000000002,,1,0.0,0.0,0.0,0.0,0.0,0.0,1595.759,0,0,0
43.0,293.0,297.0,9.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,83.081,0.0,0.0,-86.1890000000003,,1,0.0,0.0,0.0,0.0,0.0,0.0,1678.84,0,0,0
44.0,286.0,298.0,10.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,86.789,0.0,0.0,-87.65200000000004,,0,1.0,0.0,0.0,0.0,0.0,0.0,1765.629,0,0,0
45.0,281.0,277.0,11.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,92.874,0.0,0.0,-90.76100000000042,,0,0.0,0.0,1.0,0.0,0.0,0.0,1858.503,0,0,0
47.0,257.0,224.0,47.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,127.213,0.0,0.0,-52.89800000000014,,0,0.0,1.0,0.0,0.0,0.0,0.0,2098.322,0,0,0
