LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf,mode,predicted_base_pace,delta
7.0,275.0,223.0,7.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,126.733,0.0,54.99800000000005,-34.437999999999874,-3.353000000000065,0,0.0,0.0,0.0,0.0,0.0,1.0,1683.464,1,1,0,0,97.17940207529125,29.553597924708754
8.0,277.0,232.0,8.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,98.441,0.0,57.16100000000006,-36.26199999999972,-3.483000000000174,1,0.0,0.0,0.0,0.0,0.0,0.0,1781.905,1,1,0,0,97.44734475042158,0.9936552495784241
9.0,280.0,241.0,9.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,96.062,0.0,58.58500000000004,-36.86299999999983,-3.302999999999884,1,0.0,0.0,0.0,0.0,0.0,0.0,1877.967,1,1,0,2,97.08070244127104,-1.0187024412710457
10.0,277.0,255.0,10.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,95.527,0.0,61.98199999999997,-36.960999999999785,-3.722999999999956,1,0.0,0.0,0.0,0.0,0.0,0.0,1973.494,1,1,0,2,96.42621577458472,-0.899215774584718
11.0,279.0,261.0,11.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.702,0.0,64.49500000000012,-36.91399999999999,-4.125999999999976,1,0.0,0.0,0.0,0.0,0.0,0.0,2068.196,1,1,0,2,96.44141943536496,-1.7394194353649652
12.0,280.0,262.0,12.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.227,0.0,66.94400000000019,-37.06899999999973,-5.098000000000184,1,0.0,0.0,0.0,0.0,0.0,0.0,2162.423,1,1,0,2,96.43479816780201,-2.207798167802011
13.0,279.0,273.0,13.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.275,0.0,68.90100000000007,-38.17699999999991,-5.3559999999999945,1,0.0,0.0,0.0,0.0,0.0,0.0,2255.698,1,1,0,2,95.69907111661868,-2.424071116618677
14.0,278.0,274.0,14.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.859,0.0,70.96499999999992,-39.42000000000007,-5.222999999999956,1,0.0,0.0,0.0,0.0,0.0,0.0,2348.557,1,1,0,2,95.69217992098257,-2.833179920982573
15.0,279.0,271.0,15.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.744,0.0,73.48299999999995,-40.36799999999994,-5.203999999999951,1,0.0,0.0,0.0,0.0,0.0,0.0,2441.301,1,1,0,2,95.43285673306964,-2.688856733069642
16.0,279.0,270.0,16.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.445,0.0,75.97600000000011,-42.03399999999988,-4.899999999999864,1,0.0,0.0,0.0,0.0,0.0,0.0,2533.746,1,1,0,2,95.60103783281754,-3.156037832817546
