Unnamed: 0,Time_x,LapNumber,PitOutTime,PitInTime,SpeedFL,SpeedST,TyreLife,LapStartTime,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeStamp_y,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_2,status_4,status_6,status_12,status_14,status_16,status_21,status_24,status_26,status_41,status_67,status_71,status_124,status_126,status_167,status_671,status_712,status_6712,Driver_idx,Team_idx
56,0 days 02:53:07.749000,57.0,NO_PIT,NO_PIT,287.0,293.0,57.0,0 days 02:51:40.349000,1,2.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,87.4,66.32400000000052,66.32400000000052,18.28899999999976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0 days 01:13:14.728000,1.0,NO_PIT,NO_PIT,182.0,186.0,1.0,0 days 01:11:00.355000,124,12.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,134.132,45.015,1.2489999999999952,3.0459999999999923,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
58,0 days 01:16:06.103000,2.0,NO_PIT,0 days 01:15:53.611000,182.0,195.0,2.0,0 days 01:13:14.728000,4,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,134.132,34.066,2.4979999999999905,6.0919999999999845,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
59,0 days 01:18:49.068000,3.0,0 days 01:16:08.591000,0 days 01:18:36.076000,182.0,189.0,3.0,0 days 01:16:06.103000,4,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,134.132,51.09899999999999,3.747000000000014,9.137999999999977,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
60,0 days 01:21:23.515000,4.0,0 days 01:18:51.914000,0 days 01:21:12.398000,182.0,194.0,4.0,0 days 01:18:49.068000,4,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,134.132,68.132,4.995999999999981,12.183999999999967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
61,0 days 01:23:44.875000,5.0,0 days 01:21:27.130000,NO_PIT,198.0,204.0,5.0,0 days 01:21:23.515000,4,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,141.36,65.84400000000005,4.583999999999946,13.004999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
62,0 days 01:26:04.827000,6.0,NO_PIT,NO_PIT,217.0,222.0,6.0,0 days 01:23:44.875000,4,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,139.952,65.37300000000005,4.118000000000052,12.545999999999935,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
63,0 days 01:28:11.560000,7.0,NO_PIT,NO_PIT,275.0,223.0,7.0,0 days 01:26:04.827000,41,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,126.733,54.99800000000005,3.353000000000065,11.406999999999924,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
64,0 days 01:29:50.001000,8.0,NO_PIT,NO_PIT,277.0,232.0,8.0,0 days 01:28:11.560000,1,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,98.441,57.16100000000006,3.483000000000174,11.319999999999936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
65,0 days 01:31:26.063000,9.0,NO_PIT,NO_PIT,280.0,241.0,9.0,0 days 01:29:50.001000,1,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,96.062,58.58500000000004,3.302999999999884,11.524999999999864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
66,0 days 01:33:01.590000,10.0,NO_PIT,NO_PIT,277.0,255.0,10.0,0 days 01:31:26.063000,1,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,95.527,61.98199999999997,3.722999999999956,11.567000000000007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
