LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,PitDuration,Driver_idx,Team_idx,dnf
43.0,293.0,297.0,9.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,83.081,0.0,-1.8340000000002874,14.5300000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,1678.84,0,0,0,0
44.0,286.0,298.0,10.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,86.789,0.0,,170.19699999999966,0,1.0,0.0,0.0,0.0,0.0,0.0,1765.629,0,0,0,0
45.0,281.0,277.0,11.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,92.874,79.64499999999998,,171.28699999999935,0,0.0,0.0,1.0,0.0,0.0,0.0,1858.503,0,0,0,0
48.0,168.0,192.0,48.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,122.406,108.26499999999942,-4.180000000000291,12.648000000000138,0,0.0,0.0,0.0,0.0,1.0,0.0,2220.728,0,0,0,0
49.0,249.0,181.0,49.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,144.892,152.71699999999964,-4.267000000000735,11.919000000000779,0,0.0,0.0,0.0,0.0,1.0,0.0,2365.62,0,0,0,0
50.0,252.0,127.0,50.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,142.085,171.0699999999997,-4.5770000000002256,12.139000000000124,0,0.0,0.0,0.0,0.0,1.0,0.0,2507.705,0,0,0,0
51.0,285.0,135.0,51.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,133.879,180.67399999999998,-4.875999999999294,11.40899999999965,0,0.0,0.0,0.0,0.0,0.0,1.0,2641.584,0,0,0,0
52.0,286.0,244.0,52.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,93.864,177.3140000000003,-4.210000000000036,11.878999999999905,1,0.0,0.0,0.0,0.0,0.0,0.0,2735.448,0,0,0,0
53.0,286.0,273.0,53.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.859,176.3640000000005,-3.832999999999629,12.197000000000116,1,0.0,0.0,0.0,0.0,0.0,0.0,2826.307,0,0,0,0
54.0,287.0,273.0,54.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.1,172.95699999999943,-4.161000000000058,13.507000000000517,1,0.0,0.0,0.0,0.0,0.0,0.0,2915.407,0,0,0,0
55.0,299.0,284.0,55.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.538,171.44400000000041,-4.8179999999993015,15.045000000000073,1,0.0,0.0,0.0,0.0,0.0,0.0,3003.945,0,0,0,0
56.0,300.0,280.0,56.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,87.921,170.80599999999959,-4.893000000000029,16.57800000000043,1,0.0,0.0,0.0,0.0,0.0,0.0,3091.866,0,0,0,0
57.0,287.0,293.0,57.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,87.4,168.6890000000003,-4.618999999999687,18.295000000000073,1,0.0,0.0,0.0,0.0,0.0,0.0,3179.266,0,0,0,0
1.0,182.0,186.0,1.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,17.033,1.2489999999999952,3.0459999999999923,0,0.0,1.0,0.0,0.0,0.0,0.0,786.632,0,1,1,0
6.0,217.0,222.0,6.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,139.952,14.274000000000058,0.37100000000003774,3.4079999999999586,0,0.0,0.0,0.0,0.0,1.0,0.0,1556.731,0,1,1,0
7.0,275.0,223.0,7.0,7.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,126.733,3.899000000000001,-0.39400000000000546,2.2690000000000055,0,0.0,0.0,0.0,0.0,0.0,1.0,1683.464,0,1,1,0
8.0,277.0,232.0,8.0,5.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,98.441,6.062000000000012,-0.26400000000001,2.1819999999999027,1,0.0,0.0,0.0,0.0,0.0,0.0,1781.905,0,1,1,0
9.0,280.0,241.0,9.0,6.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,96.062,7.486000000000104,-0.44399999999996,2.3869999999999436,1,0.0,0.0,0.0,0.0,0.0,0.0,1877.967,0,1,1,0
10.0,277.0,255.0,10.0,8.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,95.527,10.883000000000038,-0.02400000000000091,2.4289999999999736,1,0.0,0.0,0.0,0.0,0.0,0.0,1973.494,0,1,1,0
11.0,279.0,261.0,11.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.702,13.395999999999958,0.3790000000000191,3.0270000000000437,1,0.0,0.0,0.0,0.0,0.0,0.0,2068.196,0,1,1,0
12.0,280.0,262.0,12.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.227,15.845000000000027,1.3509999999998854,2.8759999999999764,1,0.0,0.0,0.0,0.0,0.0,0.0,2162.423,0,1,1,0
13.0,279.0,273.0,13.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.275,17.802000000000135,1.6089999999999236,3.1159999999999854,1,0.0,0.0,0.0,0.0,0.0,0.0,2255.698,0,1,1,0
14.0,278.0,274.0,14.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.859,19.865999999999985,1.4759999999998854,2.921000000000049,1,0.0,0.0,0.0,0.0,0.0,0.0,2348.557,0,1,1,0
15.0,279.0,271.0,15.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.744,22.384000000000015,1.4570000000001073,2.500999999999749,1,0.0,0.0,0.0,0.0,0.0,0.0,2441.301,0,1,1,0
16.0,279.0,270.0,16.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.445,24.87700000000018,1.15300000000002,2.576999999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,2533.746,0,1,1,0
17.0,280.0,270.0,17.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.795,27.4079999999999,1.1179999999999382,2.7480000000000473,1,0.0,0.0,0.0,0.0,0.0,0.0,2626.541,0,1,1,0
18.0,275.0,269.0,18.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.124,30.385999999999967,1.365000000000009,2.3220000000001164,1,0.0,0.0,0.0,0.0,0.0,0.0,2719.665,0,1,1,0
19.0,280.0,268.0,19.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.462,32.297000000000025,0.9129999999997835,2.1400000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,2812.127,0,1,1,0
20.0,276.0,275.0,20.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.327,33.91399999999999,0.8989999999998872,2.423000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,2904.454,0,1,1,0
21.0,280.0,269.0,21.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.323,36.00299999999993,1.143000000000029,2.644999999999982,1,0.0,0.0,0.0,0.0,0.0,0.0,2996.777,0,1,1,0
22.0,281.0,280.0,22.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.355,38.05799999999999,1.4570000000001073,3.571999999999889,1,0.0,0.0,0.0,0.0,0.0,0.0,3089.132,0,1,1,0
23.0,280.0,272.0,23.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.438,40.57399999999984,2.1239999999997963,3.6440000000000055,1,0.0,0.0,0.0,0.0,0.0,0.0,3181.57,0,1,1,0
24.0,281.0,272.0,24.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.035,42.922000000000025,2.3070000000002437,3.2739999999998872,1,0.0,0.0,0.0,0.0,0.0,0.0,3273.605,0,1,1,0
25.0,281.0,275.0,25.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.622,44.94300000000021,3.06899999999996,3.413000000000011,1,0.0,0.0,0.0,0.0,0.0,0.0,3365.227,0,1,1,0
26.0,281.0,282.0,26.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.928,46.710999999999785,2.694999999999709,3.8279999999999745,1,0.0,0.0,0.0,0.0,0.0,0.0,3456.155,0,1,1,0
27.0,281.0,279.0,27.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.635,48.096000000000004,2.575000000000273,4.087999999999738,1,0.0,0.0,0.0,0.0,0.0,0.0,3546.79,0,1,1,0
28.0,282.0,277.0,28.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.382,49.38100000000031,2.8140000000003056,4.35799999999972,1,0.0,0.0,0.0,0.0,0.0,0.0,36.785,0,1,1,0
29.0,278.0,284.0,29.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.051,51.07500000000027,2.7380000000002838,4.024999999999636,1,0.0,0.0,0.0,0.0,0.0,0.0,126.836,0,1,1,0
30.0,279.0,282.0,30.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.124,53.166999999999916,3.125,3.275000000000091,1,0.0,0.0,0.0,0.0,0.0,0.0,216.96,0,1,1,0
31.0,280.0,283.0,31.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.299,54.771000000000186,2.0019999999999527,2.826000000000022,1,0.0,0.0,0.0,0.0,0.0,0.0,306.259,0,1,1,0
32.0,280.0,280.0,32.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.383,56.35400000000027,1.1510000000002947,2.2619999999997162,1,0.0,0.0,0.0,0.0,0.0,0.0,395.642,0,1,1,0
35.0,271.0,237.0,2.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,105.531,85.01800000000003,2.2660000000000764,0.7310000000002219,0,0.0,0.0,0.0,0.0,1.0,0.0,757.522,0,1,1,0
36.0,270.0,280.0,3.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,101.62,49.75500000000011,1.455000000000382,0.7659999999996217,0,0.0,0.0,0.0,0.0,1.0,0.0,859.142,0,1,1,0
37.0,213.0,270.0,4.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,127.218,47.71799999999985,0.5940000000000509,0.8460000000000036,0,0.0,0.0,0.0,0.0,1.0,0.0,986.36,0,1,1,0
38.0,222.0,258.0,5.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,139.376,175.32900000000018,1.555000000000291,1.15099999999984,0,0.0,0.0,0.0,0.0,1.0,0.0,1125.736,0,1,1,0
