Unnamed: 0.1,Unnamed: 0,Time_x,LapNumber,PitOutTime,PitInTime,SpeedFL,SpeedST,TyreLife,LapStartTime,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeStamp_y,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_2,status_4,status_6,status_12,status_14,status_16,status_21,status_24,status_26,status_41,status_67,status_71,status_124,status_126,status_167,status_671,status_712,status_6712,Driver_idx,Team_idx,TimeSinceLastWeatherMeasurement
147,147,0 days 02:11:02.428000,34.0,0 days 02:08:42.155000,NO_PIT,279.0,175.0,1.0,0 days 02:08:39.832000,4,11.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,142.596,180.2860000000001,3.563999999999851,11.253000000000156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0 days 00:10:53.945000
148,148,0 days 02:12:47.098000,35.0,NO_PIT,NO_PIT,285.0,263.0,2.0,0 days 02:11:02.428000,4,11.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,104.67,161.5080000000003,2.7719999999999345,10.320999999999913,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0 days 00:12:38.615000
149,149,0 days 02:14:28.753000,36.0,NO_PIT,NO_PIT,287.0,277.0,3.0,0 days 02:12:47.098000,4,11.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,101.655,126.27999999999976,4.576999999999771,7.934000000000196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0 days 00:14:20.270000
175,175,0 days 01:23:47.410000,5.0,0 days 01:21:29.030000,NO_PIT,176.0,185.0,5.0,0 days 01:21:25.229000,4,10.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,142.181,78.84900000000005,13.004999999999995,7.456000000000017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0 days 00:23:39.314000
176,176,0 days 01:26:06.903000,6.0,NO_PIT,NO_PIT,202.0,185.0,6.0,0 days 01:23:47.410000,4,10.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,139.493,77.91899999999998,12.545999999999935,8.93600000000015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0 days 00:25:58.807000
208,208,0 days 01:23:36.865000,5.0,0 days 01:21:16.471000,NO_PIT,223.0,197.0,5.0,0 days 01:21:14.268000,4,5.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,142.597,44.47299999999996,16.228999999999928,7.544000000000096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:23:28.769000
209,209,0 days 01:25:55.715000,6.0,NO_PIT,NO_PIT,230.0,159.0,6.0,0 days 01:23:36.865000,4,5.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,138.85,42.89999999999998,15.593999999999935,8.075000000000045,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:25:47.619000
238,238,0 days 02:12:17.929000,35.0,0 days 02:10:13.161000,NO_PIT,267.0,180.0,1.0,0 days 02:10:11.057000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,126.872,94.68000000000028,22.31199999999989,26.759999999999764,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:12:09.446000
239,239,0 days 02:14:00.335000,36.0,NO_PIT,NO_PIT,256.0,265.0,2.0,0 days 02:12:17.929000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,102.406,60.202999999999975,19.81199999999989,23.7199999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:13:51.852000
240,240,0 days 02:16:28.558000,37.0,NO_PIT,NO_PIT,224.0,269.0,3.0,0 days 02:14:00.335000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,148.223,79.56899999999996,63.12899999999991,7.237999999999829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:16:20.075000
